,Name,rating,Contribution,userLocation,reviewMessage,month,year
69,Andrea B,4.0,1,0,Fun and interesting,0,0
70,Wayne and Diane C,5.0,11,Auburn,Boston old trolley tour,Oct,2022
71,beachbumburr,5.0,105,Mansfield,Had a great time,0,0
72,stormtwig,5.0,398,"Kent,England",Pricey but a great way to see a lot,0,0
73,frinks2019,5.0,2,"Kearney, NE",Great trolleys,Oct,2022
74,stephencK764GH,1.0,6,"Pensacola, FL",Not enough trolleys in operation,Oct,2022
75,Marilee A,4.0,3,0,Overall  a good tour,Oct,2022
76,Joe N,5.0,3,"Kilkenny, Ireland",Great bus tour,Oct,2022
77,Peter K,1.0,16,0,Disappointed,Oct,2022
78,Tour2022TM,5.0,2,"Hamptons, NY",Lots of fun on the trolley,Oct,2022
79,Craig M,3.0,1,0,"Good, but can be improved",Oct,2022
80,tamij825,5.0,2,"Ponte Vedra Beach, FL",Thank you Murph.,0,0
81,Dirk,5.0,8,"Richardson, TX","New to Boston, here how to get to know it",0,0
82,rmmtraveler,4.0,21,"Greenville, SC",Fun trip,0,0
83,Kyle G,5.0,6,"Newport Beach, California, United States",A must to see Boston,Oct,2022
84,Michelle M,1.0,2,0,More waiting than seeing!!!,Oct,2022
85,cbCincinnati,5.0,40,"Groesbeck, OH",Great tour of Boston!,Sep,2022
86,AlC,4.0,3,"St. Petersburg, FL",A good ride,0,0
87,Kate C,5.0,3,0,Must do,0,0
88,Cailey,4.0,4,0,"Great tour of the city, be prepared for long waits to hop on",Oct,2022
89,M M,4.0,76,"Alberta, Canada","Good basic tour, would be better with audio assist",Oct,2022
90,Allyson K,5.0,1,0,So worth it!,Oct,2022
91,Mark S,3.0,3,0,Rude employee at Ticket Booth,Oct,2022
92,karenhill87,2.0,16,karenhill87,"Waste of money, very little info; get a Charlie card and Google maps instead",0,0
93,trishwofford,1.0,8,"Georgia Coast, GA",Don't Waste Your Money or You'll Waste Your Time,Oct,2022
94,Lesley F,5.0,1,0,This is a great way to see Boston,Oct,2022
95,Tina H,5.0,3,0,Great way to see Boston sites at your own pace,Oct,2022
96,rwillerAZ,1.0,3,"Tempe, AZ",Poor excuse for a Boston city tour,0,0
97,_jrremson,4.0,36,"Manhattan Beach, CA",Good,0,0
98,Rick U,2.0,89,"La Conner, WA",Not good,0,0
99,Gale B,5.0,5,0,Highly recommend Capt Matti,0,0
100,Bev G,4.0,4,"Henrico, VA",Long waits.,Oct,2022
101,deansaafdn,3.0,49,"Maui, HI",Good tour Long lines,0,0
102,Marits123,5.0,3,0,Highly Recommend,Oct,2022
103,Rena B,4.0,1,0,Felt badly for driver and customers as well.,Oct,2022
104,bob w,5.0,3,"white oak, United States",Great customer service,0,0
105,AndC2014,2.0,76,"Caldicot, UK",Overcrowded system,Oct,2022
106,Debbie B,2.0,1,0,3 different drivers,Oct,2022
107,laurie s,5.0,3,"Louisville, KY",Fun and informative,Sep,2022
108,Robert F,5.0,11,0,Great for First Time Visiting,Sep,2022
109,Linda T,3.0,5,"Harrison, AR",A day in Boston,Oct,2022
110,Anya,2.0,1,0,Didn’t learn much,Oct,2022
111,U_s_a_Viajera2008,1.0,145,U.S.A.,Horrible experience,Sep,2022
112,Deb and Del,5.0,7,"Parker, CO",Fascinating tour!!!,Sep,2022
113,Experience770924,4.0,14,"Dallas, TX",Great way to see Boston with live commentary by the driver.,0,0
114,Radhika S,1.0,1,0,"Long lines, expensive, not worth it",0,0
115,Arthur E,2.0,1,0,Disappointed,0,0
116,PinkShoeAddict,3.0,98,"Darien, IL",Very crowded on weekends,0,0
117,tmh2209,5.0,25,"Santee, CA",Great toyr,Sep,2022
118,Lorraine M,3.0,31,"Redland Bay, Australia",Great concept but oversold.,0,0
119,Carole T,1.0,32,"San Antonio, Texas, United States",Not worth it,Sep,2022
120,Phil D,2.0,9,"Hendersonville, NC",Way over priced!,0,0
121,FellowTraveler238799,5.0,1,"Park City, UT",Ask for Crafty!,Sep,2022
122,Bernice W,5.0,1,"Philadelphia, PA",Philly in Boston,Sep,2022
123,jess,5.0,2,"El Dorado Hills, CA",Well worth the time and money,0,0
124,lpeckenpaugh,5.0,66,"Germantown, WI",Hop on/off Boston,0,0
125,Tony S,2.0,2,"Stourbridge, UK",Very poor,Sep,2022
126,Beverley L,5.0,1,0,Boston Tour,Sep,2022
127,Amy A,4.0,9,"Denver, CO",Definitely worth it to see sights around Boston,Sep,2022
128,MJM,3.0,15,0,The good and the bad,0,0
129,jeffery J,5.0,1,0,Boston tour,Sep,2022
130,Lara P,5.0,2,0,Hop On &amp; Hop Off Tour Boston,Sep,2022
131,Summer B,2.0,4,0,"Disappointing, too expensive for the wait times",0,0
132,Dave S,4.0,103,"Oregon, IL",Great way to cover lots of Boston scenes.,Sep,2022
133,Linda K,5.0,20,"Iowa City, IA",Wonderful way to see the City of Boston!,Sep,2022
134,N0rmalee,2.0,617,"Bossier City, LA",Not a great day but largely our fault,0,0
135,JHB,2.0,2,0,JB,Sep,2022
136,Gary B,5.0,7,"Nowra, Australia",WET AND WILD RIDE AROUND BOSTON WITH LISBON,Sep,2022
137,Andrea R,4.0,1,0,Excellent,Sep,2022
138,Sue I,5.0,21,0,"Superb tour, we would definitely recommebd to other first time visitors to Boston",Sep,2022
139,Vacation569458,3.0,1,0,If your Not patient don’t do this tour!,0,0
140,Lynda b,5.0,1,0,Boston,Sep,2022
141,Lucy1976,5.0,102,"Aurora, Canada",Amazing!,0,0
142,Bjs,1.0,1,Florida,Charged More because they are busy????,0,0
143,FrequentFlier523080,5.0,2,0,Great way to get to know someplace new,Sep,2022
144,dancinggoats,4.0,330,"San Angelo, TX",Great overview of Boston,0,0
145,rlnance1,5.0,11,"Beaver Dam, KY",Enjoy the sights and let someone else drive.,0,0
146,Vickie S,4.0,1,0,Wait time,Sep,2022
147,theBigPict,3.0,4,"Marysville, WA","Good way to get a quick view of the city, but spotty quality.",0,0
148,LaurieHS11,2.0,11,"Alberta, Canada",Need More Trollies,Sep,2022
149,Jacob Tharakan Chacko (Binoy),3.0,741,"Kottayam, India",If you know it you know it,0,0
150,Dana H,5.0,7,"Apple Valley, MN",A must For first time visitors to Boston,Sep,2022
151,Elaine,5.0,18,"West Linn, OR",Wonderful tour.,0,0
152,Madelyn,4.0,2,"Rochester, NY",I wouldn’t do it again .,Sep,2022
153,KarenD,5.0,1,0,Very informative Tour,Sep,2022
154,Elizabeth M,5.0,1,0,Fun day exploring Boston!,0,0
155,Joanne D,3.0,53,"Alexandria, VA",Mixed review,0,0
156,dondkerr,4.0,2,"South Jordan, UT",Great way to get a quick look at the city,Sep,2022
157,Cindy M,1.0,3,"Fort Worth, TX",Awful!!!!!,Sep,2022
158,Nessie M,3.0,6,"Green Cove Springs, FL",Just ok,Sep,2022
159,johnehill1967,5.0,2,"Overland Park, Kansas",Fun and informative,Sep,2022
160,Janet D,1.0,2,0,Not what we expected.,Sep,2022
161,Roger W,4.0,47,"Diagonal, IA",Great tour!,Sep,2022
162,Lee Ann L,1.0,1,"Lakewood Ranch, FL",Worst Trolley Tour Ever,0,0
163,Happiness10507,4.0,1,0,Great Tour,Sep,2022
164,Christine W,2.0,15,"Chicago, IL",Warning…,Sep,2022
165,Karen Ann S,5.0,28,"Elk Grove, CA","Fun, informative and a great way to get an overview of Boston!",0,0
166,mrshine615,2.0,5,0,Hop Off and stay off!  There way too much waiting around.  Wait for the bus.. Wait to board.. Wait to leave.  Spent as much time,0,0
167,Susanna,3.0,3,0,Great but bad wait time,0,0
168,Darren Q,4.0,29,"Atlanta, GA",Great way to see Boston,0,0
169,Sr,3.0,3,0,Hop on don't,Sep,2022
170,SHELBY1968,5.0,2,SOUTH DAKOTA,The tour guide very informative and added some humor.,0,0
171,Cheli C,4.0,3,Billings,Trolley tour,Sep,2022
172,mul710,4.0,95,"Dubai, United Arab Emirates",EASY WAY OF SEEING BOSTON,Aug,2022
173,MSC,5.0,39,"Hendersonville, NC",A Great Way to See Boston,Sep,2022
174,Scott C,5.0,2,0,Great Place,Sep,2022
175,Tracey M,5.0,3,0,Well worth the price,0,0
176,MeeMee,5.0,66,"Minneapolis, MN",Boston hop on hop off trolley,Aug,2022
177,Johnny B,5.0,1,0,Bug is the best!,Sep,2022
178,Wendy M,5.0,8,"La Ronge, Canada",Amazing way to explore,Aug,2022
179,Linda B,5.0,3,0,Best way to do The Freedom Trail,Sep,2022
180,amygee18,5.0,11,"Fayetteville, TN",Great tour and excellent guide!,0,0
181,Chuck T,5.0,3,0,Excellent way to see a number of sites in Boston.,0,0
182,Smiley,5.0,7,0,"Details, Clarity, Information...with a wicked sense of humour!",Sep,2022
183,Dave S,1.0,1,0,Worst experience in boston,0,0
184,Joanne H,3.0,77,"Kent, UK",Good way to see Boston,Aug,2022
185,regina s,4.0,1,0,Ride,Sep,2022
186,innate1,5.0,9,0,A must do!,0,0
187,WanderingAroundTheWorld,5.0,"5,135","St Helens, UK","Amazing tour With Amazing guide, Bug",0,0
188,K4547MLamyb,5.0,4,0,Great Tour!,Sep,2022
189,Jennifer W,5.0,11,"Washington DC, DC",Great experience!,Sep,2022
190,Denise C,5.0,10,Illinois,"With the right driver, worth the entire trip",0,0
191,Jamie S,5.0,21,"Albuquerque, NM",Great value,Sep,2022
192,Jason R,5.0,13,"Chicago, IL",Recommended,0,0
193,Shumadnez,5.0,1,"Loganville, PA",The best of Boston right here,0,0
194,Rkelly137,1.0,3,0,Check your receipt before you leave !,Aug,2022
195,Hyung P,4.0,2,"Long Beach, CA",Boston Hop-On Hop-Off Trolley Tour,Sep,2022
196,Ardina A,5.0,3,0,Only way to see the city. then see what you want,Aug,2022
197,Tia M,5.0,1,0,Boston get-away 😁,0,0
198,Tammie,5.0,33,"Great Falls, MT",This tour is worth every cent,0,0
199,Barb G,5.0,8,"Hinckley, UK",Great introduction to Boston,Aug,2022
200,Catherine B,5.0,4,0,Great Ride With BUG,Aug,2022
201,Jennifer M,2.0,3,0,"If you can get a ride, it's pretty good...but",Aug,2022
202,Rhonda C,5.0,2,0,A day visiting Boston,0,0
203,Claudio Perez,5.0,1,0,vacation on couple,Aug,2022
204,Sunshine260030,5.0,18,"Seminole, FL",Vacation with cousin,0,0
205,Jeffery G,4.0,389,"Alexandria, VA",Great tour of the city,0,0
206,KylasTravels,5.0,9,St.Catharines,Great HoHo experience!,Aug,2022
207,Johnnie J,3.0,1,0,Hard to find stops,Aug,2022
208,Carol O,5.0,2,0,Well worth it.,Aug,2022
209,greggm759,5.0,17,"Horseheads, United States",Boston Hop on Hop off is a must!!!,Aug,2022
210,Susan,5.0,11,0,Perfect Way to See So Much,Aug,2022
211,Luisa D,3.0,6,0,Overpriced and average,Aug,2022
212,Sohini S,3.0,4,0,Not structured well to do the hop on hop off smoothly,0,0
213,Kendra G,5.0,1,0,I would take it again,Aug,2022
214,cmmhac,5.0,4,"Port Colborne, Canada",A must do in Boston,Aug,2022
215,Kyle K,5.0,2,0,Great drivers and limited waiting,Aug,2022
216,pdk926,1.0,16,"SanRafael, CA",Avoid-take the subway!,0,0
217,Ruby Red,5.0,1,0,Wonderful Experience,Aug,2022
218,Donna W,4.0,7,"Jacksonville, Florida","Okay, but not as good as expected",Aug,2022
219,Elise H,5.0,2,0,Best way to see Boston,Aug,2022
220,Karen K,5.0,5,"Los Angeles, CA","Duck Duck Duck Duck, Quack",Aug,2022
221,KimAnn77,5.0,66,Tennessee,Stress free way to get around the city,0,0
222,free green,5.0,3,"North Attleboro, Massachusetts","Fun, easy, relaxing way to see a chunk of the city",Aug,2022
223,Tim R,5.0,39,"Rochester, NY",See the sights in 2 hours,Aug,2022
224,Susan R,5.0,11,0,Worth It,Aug,2022
225,tnshsms,4.0,82,Missouri,Great option,Aug,2022
226,Johngelliott,2.0,32,"Belfast, UK",Brit bashing at its best,0,0
227,brittp239,5.0,5,"Naples, FL",Great was to see a lot of the city,0,0
228,Candice B,5.0,1,0,Lisbon was a rock star tour guide!,Aug,2022
229,DantehetGooi,2.0,93,"Amsterdam, The Netherlands",Rip off!,0,0
230,Karen B,5.0,4,"Chelmsford, UK",Great way to see the city,Aug,2022
231,The Beckster,5.0,57,"Largo, FL",Had a great experience.,0,0
232,Tim B,5.0,1,0,Wylie - best driver ever!,0,0
233,cathyvaldes,3.0,41,"Starkville, MS",Meh!,0,0
234,P Mc,2.0,23,0,Long waits,Aug,2022
235,Dawn P,5.0,5,0,Hot day/Drivers are great!,0,0
236,Boat L,2.0,53,"Hilton Head, SC",Maybe okay for a full lap to get the lay of the land.  Then walk.,Jul,2022
237,Bill O,5.0,61,"Williams, AZ",Great shtick,Aug,2022
238,Sharon C,4.0,1,0,2 days is not enough time!,Aug,2022
239,Billy M,5.0,3,0,Boston Trip,0,0
240,Deborah Y,5.0,3,0,"Nice, easy, and informative trip around Boston!",Aug,2022
241,Karina H,5.0,3,0,Great tour,Aug,2022
242,xrayang,4.0,47,"Prince George, VA",Great way to tour the city,0,0
243,Dana K,5.0,3,0,Boston trip,Aug,2022
244,Lisa P,5.0,4,0,Family sightseeing,Aug,2022
245,Ted G,1.0,1,"Acworth, GA",Not good at all!,Aug,2022
246,Coastal29697478991,2.0,1,0,"Poor communication, not worth the money",0,0
247,Lala C,3.0,86,"Glasgow, UK",Boston,Jul,2022
248,Danielle O,5.0,2,0,"Good first activity, very informative",Aug,2022
249,Brian L,5.0,8,0,Craft Cruising!,Jul,2022
250,krmcwilliams,2.0,10,"Allen, TX",Not worth the $,Jul,2022
251,Judith R,2.0,1,0,Poor service and lack of customer care.,Jul,2022
252,Chris B,5.0,4,0,Fun way to see Boston,Jul,2022
253,987orlandoh,3.0,42,"Fort Lauderdale, FL",Ok,Jul,2022
254,Charlotte1323,2.0,6,"Fort Lauderdale, FL",Could've been better!,Aug,2022
255,Concetta Stanfa,5.0,1,"Des Plaines, IL",Hop off and Hop On,0,0
256,SDS6711,5.0,36,"White Rock, Canada",Outstanding tour with Murph,Jul,2022
257,Amy Rutledge,3.0,4,0,"Great Tour, Not So Great Tour Guide",Jul,2022
258,Gino F A,2.0,3,0,Wait time excessive,Jul,2022
259,theuncle2018,2.0,218,"Scottsdale, AZ",Oversold the tickets,Jul,2022
260,Kpritter,3.0,15,0,Meh,0,0
261,CRRBEN,5.0,61,"Aldie, VA",Excellent tour,Jul,2022
262,J N,4.0,4,0,Great trolley tour,Jul,2022
263,BCT,4.0,5,"Sioux City, IA",Good overview of Boston,0,0
264,Patrick W,5.0,4,"Scranton, PA",Great tour,Jul,2022
265,S366UTlaurar,5.0,2,"Cincinnati, OH",Awesome!,Jul,2022
266,James B,1.0,8,"Wheaton, IL",Trolley ride from hell.,0,0
267,Tari K,1.0,23,"Advance, NC",Do not recommend this tour,0,0
268,Ed D,2.0,2,0,Pass on these folks!,Jul,2022
269,Scenic714250,5.0,30,0,Good hop on Hop off,Jul,2022
270,Dream28354035024,4.0,2,0,Very good way to get around,0,0
271,Mark T,5.0,123,"Bedford, UK",Best way to see Boston in a day,Jul,2022
272,mlbdab,4.0,361,0,Best way to see the city,0,0
273,Phil M,2.0,1,0,Disappointing,Jul,2022
274,Jill P,5.0,17,0,Enjoyable tour,0,0
275,Dan R,2.0,61,"Warrenton, MO",Long wait times!!,0,0
276,luv2travel,4.0,9,"Toronto, Canada",A general overview,Jul,2022
277,Wander291846,5.0,1,0,Excellent,Jul,2022
278,Rebekah W,5.0,1,0,10/10 Recommend!,Jul,2022
279,Christine C,1.0,1,0,Not a history tour,Jul,2022
280,Mooreni4,5.0,2,"Portage, MI",Do it!!,0,0
281,Ami D,4.0,2,0,"Bus was clean, hand sanitizer available, no need for mask as its open window plenty of cool air fr outside",Jul,2022
282,Erin M,4.0,3,essex,BUGs THE BEST,Jul,2022
283,Kamali C,5.0,1,0,Made me appreciate Boston more.,Jul,2022
284,SonjaV1,4.0,499,"Lake Placid, NY",great way to see the city.,0,0
285,Sandra Z,5.0,1,"Westport, WA",Best tour,0,0
286,bgooch15,5.0,3,"Dothan, AL",First time in Boston! ❤️,0,0
287,Dee M,2.0,4,"Bakersfield, California, United States",Not worth the money,0,0
288,Jill H,2.0,1,0,Worst Hop on Hop Off,0,0
289,Pera Lunnon,5.0,1,0,Touring Boston was a great experience with the Hop on-Hop off Tour busses.,Jul,2022
290,Ann H,5.0,4,0,Take this tour,Jul,2022
291,YoungFarms,5.0,2,"Granada, Spain",First trip to Boston,Jul,2022
292,Culpykat,5.0,2,"Huntingdon, PA",Old town is worth it.  BUG is the best driver,Jul,2022
293,Tuebor30215,5.0,18,"Atlanta, GA",Great city full of US history.,0,0
294,413,5.0,24,"Buffalo, NY",Great tour!,0,0
295,Jennifer S,5.0,1,0,Ride With Maureen!!!,0,0
296,angheis,5.0,24,"Cincinnati, OH",Old Time Trolly is a must!,Jul,2022
297,Colleen E,5.0,1,0,Do this your first day!,Jul,2022
298,JT_Mug99,5.0,35,"Granby, CT",Excellent and knowledgeable tour!,0,0
299,David N,4.0,1,0,Combo tour,Jul,2022
300,Ken H,5.0,5,"Tampa, FL",Best in Boston,Jun,2022
301,Maria P,5.0,22,"Washington DC, DC",Great way to see Boston!,Jul,2022
302,Tina H,3.0,7,"Los Angeles, CA",Family Vacation,Jun,2022
303,Joan D,5.0,2,0,Interesting,Jun,2022
304,Mary K,5.0,3,0,Great experience,Jul,2022
305,Shannon T,5.0,3,0,Easy and fun way to see the city,0,0
306,Patricia K,5.0,1,"Mount Gilead, OH",Wonderful,Jul,2022
307,Deborah D,5.0,1,0,Amazing…get with Bug!!,Jul,2022
308,Melinda K,5.0,4,"New York City, NY",Awesome Tour,Jul,2022
309,Kat,5.0,1,0,We love Beanie!,Jul,2022
310,Langers,5.0,1,0,Bug Rocks,Jul,2022
311,Brenda T,5.0,1,"Indianapolis, IN",Great Tour Option,Jul,2022
312,Dodie,5.0,5,0,Great BostonTrolley bus tour,Jun,2022
313,Roving441805,5.0,9,0,10/10 recommend!,Jun,2022
314,Colleen B,3.0,3,0,Too much time waiting for a bus…,0,0
315,Jane Dont,4.0,1,"Boston, MA",Hopped,Jun,2022
316,Christine K,5.0,1,0,Boston Tour,Jun,2022
317,Grr R,5.0,2,0,great time,0,0
318,stephen D,5.0,21,"Staten Island, NY",great family vacation,Jun,2022
319,Claire M,1.0,1,0,Awful,Jun,2022
320,Stephanie J,4.0,72,"Sydney, Australia",Engaging and Solution oriented,Jun,2022
321,BeckyRied,4.0,21,"Cedar Rapids, IA",Would do it again!,0,0
322,lisaespenshade,5.0,1,"Newtown, PA",Boston city tour via trolley,Jun,2022
323,Ewa L,5.0,2,0,Excellent experience,Jun,2022
324,Kristen S,5.0,1,0,Great to see the sites,Jun,2022
325,Shiela D,5.0,7,"West Des Moines, IA",See Boston!,Jun,2022
326,Carley S,5.0,50,"Tyler, TX",Best Way to Get Around Boston,0,0
327,Sheri R,5.0,1,"Jupiter, FL",Beanie! Thank you!,Jun,2022
328,Jori J,4.0,2,0,"Interesting tales, good laughs",0,0
329,CC,5.0,30,0,A must!,0,0
330,Arubafan123,3.0,439,USA,"Good overall view of Boston, but stops are closed without any notification or signs",Jun,2022
331,jamesgbrown27,1.0,3,"Prior Lake, MN",Spent most of the day waiting for a bus with open seats.  Horrible.,0,0
332,EDD,4.0,1,0,Travel,Jun,2022
333,Tracy A,2.0,1,"Norfolk, VA",Don’t get off!,0,0
334,gcbaumgard,4.0,18,"Georgetown, KY",Wonderful!!,Jun,2022
335,Angela P,5.0,26,"Traverse City,",Great way to see Boston,Jun,2022
336,socorroc2017,5.0,3,"Philadelphia, United States",Bug is a GREAT tour guide,Jun,2022
337,Terri D,2.0,3,"Parker, Colorado",Wait times ridiculous,0,0
338,anne s,4.0,1,0,Let someone else maneuver traffic,Jun,2022
339,Maria S,5.0,114,"La Jolla, CA",A whirlwind tour,Jun,2022
340,Bob C,5.0,70,"Fenton, MO",A Fun and Convenient Way to See Boston,0,0
341,Traci H,3.0,32,"Waddell, AZ",Long lines on weekends and drivers mixed reviews,0,0
342,Manuela F,5.0,1,0,Absolutely amazing!!,0,0
343,Sarah F,5.0,2,0,Perfect for a comprehensive overview of Boston,0,0
344,CharliePasta,5.0,3,"Pensacola, FL",Well worth it!,0,0
345,Grandmar232,5.0,2,"Tucson, AZ",On and off bus tour,Jun,2022
346,KarenFunTrips,5.0,66,"Burlington, MA",Fun Boston Tour,Jun,2022
347,Mark T,5.0,1,0,Great fun and informative,Jun,2022
348,Janisee,5.0,3,"Saint Louis, MO",Worth the price,0,0
349,Tommy P,4.0,272,"Hazel Green, AL",Great way to spend the day,0,0
350,Andi Jones,5.0,3,"Stayton, OR",The Best Way,Jun,2022
351,168dannas,5.0,5,0,Fun and easy way to “quick see” Boston and then go deeper where your interest lies.,Jun,2022
352,Passport419773,5.0,4,0,Great Trolley tour,Jun,2022
353,Meghan H,5.0,4,"East Lansing, MI",Boston in a day,Jun,2022
354,Mags363,5.0,3,"Somers Point, NJ",Great way to see Boston!,0,0
355,Summar L,4.0,18,0,"Enjoyable and informative learning experience, beware of other talkative passengers",May,2022
356,Fearless17698755193,1.0,3,0,Save your money and skip this!!!,0,0
357,Vasilinka T,5.0,2,0,Maureen is the BEST,0,0
358,Deb M,5.0,1,"Delray Beach, FL",Great Learning Experience,Jun,2022
359,Blake B,5.0,1,0,Best tour in Boston,0,0
360,melissa m,5.0,1,0,Must see excursion,Jun,2022
361,Valeria B,5.0,2,0,Boston in a day,Jun,2022
362,Ellyn R,4.0,15,"Oxford, AL",Highly recommend,0,0
363,210dsw,5.0,13,0,Great tour with great driver,May,2022
364,Jarrett B,5.0,1,0,Awesome tour,Jun,2022
365,Kevin D,5.0,1,0,No tour like the Old Town Trolley Tour,May,2022
366,Carolyn G,5.0,35,"Southfield, MI",Amazing Tour,May,2022
367,Lora K,4.0,16,"Springfield, OH",Easiest part of the trip!,Jun,2022
368,Laura C,1.0,2,0,"Great concept, failed execution",May,2022
369,Visitor to Boston,5.0,1,0,Boston Hop-On Hop-Off Trolley Tour,May,2022
370,tatiandadam,4.0,2,"Springfield, MA",An All Day Experience,May,2022
371,debmat988,5.0,43,"Doncaster, UK","Excellent, brilliant, fab",0,0
372,Marie A,5.0,4,0,"Hop-On, Hop-Off Trolley Tour in Boston",May,2022
373,Nomad736551,5.0,9,0,"Would recommend for a great way to learn about the city of Boston,",May,2022
374,Julie S,5.0,14,"Brookfield, WI",Rode with the BEAR,May,2022
375,Kellie F,5.0,1,0,Great tour for whole family,May,2022
376,hrtsonly28,5.0,1,"Jacksonville, FL",Great Experience Except For One Guise,May,2022
